TeamName,AdjEM,AdjOE,AdjDE,AdjTempo
Michigan,35.99,125.4,89.4,74.3
Arizona,35.21,125.9,90.7,72.1
Iowa St.,34.4,124.2,89.8,68.7
Purdue,31.91,129.5,97.6,65.9
Vanderbilt,30.57,125.7,95.2,71.6
Gonzaga,30.29,125.5,95.2,70.7
Illinois,30.16,126.9,96.7,67.0
Duke,29.64,124.3,94.6,68.2
Connecticut,29.44,121.5,92.1,65.7
Houston,29.03,121.3,92.3,63.3
BYU,28.26,125.1,96.9,71.0
Florida,28.01,121.4,93.4,70.5
Michigan St.,26.49,117.0,90.6,66.4
Alabama,24.71,128.2,103.5,73.4
Virginia,24.69,122.6,97.9,66.4
Louisville,24.25,124.4,100.2,70.7
Nebraska,24.05,120.6,96.5,68.0
St. John's,23.83,121.7,97.9,70.4
Tennessee,23.54,119.4,95.8,67.5
Utah St.,23.13,123.2,100.1,69.1
Iowa,23.05,120.5,97.5,64.4
Texas Tech,22.87,122.7,99.8,67.7
Kansas,22.44,119.0,96.5,68.4
N.C. State,21.66,121.6,99.9,69.3
Villanova,21.43,121.4,100.0,63.3
Kentucky,21.1,119.4,98.3,68.3
Indiana,21.05,121.3,100.2,68.4
Georgia,21.01,121.4,100.4,75.2
Clemson,20.76,117.9,97.2,65.4
Arkansas,20.71,124.0,103.3,71.9
Auburn,20.41,124.9,104.5,67.8
SMU,20.22,123.5,103.3,69.2
North Carolina,19.93,120.0,100.1,67.1
Saint Louis,19.59,119.4,99.8,72.4
Saint Mary's,19.49,120.5,101.0,65.8
Miami FL,19.1,119.6,100.5,69.8
Ohio St.,18.57,121.1,102.5,67.7
Wisconsin,18.47,119.0,100.5,70.5
UCLA,17.65,118.8,101.1,66.2
LSU,17.25,120.3,103.0,68.2
Texas A&M,17.17,118.9,101.7,72.7
Baylor,16.95,121.7,104.8,69.1
Seton Hall,16.91,110.9,94.0,66.4
Creighton,16.43,118.1,101.7,66.8
VCU,16.24,119.0,102.8,69.9
UCF,16.24,120.4,104.1,69.2
Texas,16.23,122.6,106.4,68.6
Washington,16.06,117.6,101.5,67.9
USC,15.75,117.7,102.0,70.6
Santa Clara,15.63,119.6,103.9,70.2
New Mexico,15.57,114.4,98.8,69.2
TCU,15.19,113.7,98.5,67.8
San Diego St.,15.17,115.1,100.0,68.8
Oklahoma,14.15,120.3,106.2,66.6
Oklahoma St.,14.11,117.6,103.4,74.5
Missouri,13.81,119.2,105.4,67.2
Akron,13.71,122.2,108.5,71.8
Butler,13.6,116.7,103.1,70.6
West Virginia,13.32,114.9,101.5,63.2
George Washington,13.15,120.8,107.7,70.5
Northwestern,13.14,118.3,105.2,67.0
Wake Forest,13.13,114.4,101.3,70.3
Syracuse,13.11,113.7,100.6,68.1
Cincinnati,13.0,106.6,93.6,69.6
Belmont,12.93,117.5,104.6,69.8
Virginia Tech,12.81,115.4,102.6,68.4
Providence,12.49,120.3,107.8,72.9
McNeese,12.41,116.7,104.3,67.2
Notre Dame,12.26,113.0,100.7,65.1
Mississippi,12.15,114.5,102.3,65.7
South Florida,11.85,115.8,104.0,72.8
South Carolina,11.74,115.3,103.5,65.4
Mississippi St.,11.69,114.3,102.7,69.1
Dayton,11.57,111.3,99.7,68.2
Colorado,11.32,118.2,106.9,69.8
George Mason,11.32,115.3,104.0,65.3
