team_id,team_name,season,date,opponent,location,game,result,winner_score,loser_score,ats,spread,ou,total,,
14521,UC San Diego Tritons,2024-25,"Nov 6, 2023",Denver,Home,REG,W,95,87,W,-7,O,146.5,,362
14521,UC San Diego Tritons,2024-25,"Nov 11, 2023",San Diego,Home,REG,W,69,63,W,-5.5,U,152,,
14521,UC San Diego Tritons,2024-25,"Nov 13, 2023",Laverne,Home,REG,W,116,57,,,,,,
14521,UC San Diego Tritons,2024-25,"Nov 18, 2023",Navy,Home,REG,W,73,55,W,-9,U,135.5,,
14521,UC San Diego Tritons,2024-25,"Nov 24, 2023",Idaho,Away,REG,L,73,70,L,-11.5,P,143,,
14521,UC San Diego Tritons,2024-25,"Nov 26, 2023",Seattle,Away,REG,L,79,67,L,8,O,141.5,,
14521,UC San Diego Tritons,2024-25,"Nov 28, 2023",Washington,Away,REG,L,83,56,L,15,U,151,,
14521,UC San Diego Tritons,2024-25,"Dec 1, 2023",San Diego State,Home,REG,L,63,62,W,13.5,U,139.5,,
14521,UC San Diego Tritons,2024-25,"Dec 5, 2023",Occidental,Home,REG,W,98,67,,,,,,
14521,UC San Diego Tritons,2024-25,"Dec 9, 2023",Pepperdine,Away,REG,L,68,62,L,5,U,148,,
14521,UC San Diego Tritons,2024-25,"Dec 18, 2023",Sacramento State,Away,REG,W,83,52,W,1.5,U,138.5,,
14521,UC San Diego Tritons,2024-25,"Dec 20, 2023",California,Away,REG,L,71,67,W,9,U,144,,
14521,UC San Diego Tritons,2024-25,"Dec 28, 2023",Cal State-Bakersfield,Home,REG,W,76,64,W,-7.5,O,137.5,,
14521,UC San Diego Tritons,2024-25,"Jan 4, 2024",UC-Santa Barbara,Away,REG,W,79,72,W,5.5,O,148,,
14521,UC San Diego Tritons,2024-25,"Jan 6, 2024",Cal State-Fullerton,Away,REG,W,76,58,W,-2.5,U,136,,
14521,UC San Diego Tritons,2024-25,"Jan 11, 2024",Long Beach State,Home,REG,W,88,74,W,-3.5,O,155,,
14521,UC San Diego Tritons,2024-25,"Jan 13, 2024",Cal Poly,Away,REG,W,86,61,W,-11,O,132,,
14521,UC San Diego Tritons,2024-25,"Jan 18, 2024",UC Irvine,Away,REG,L,76,65,L,6.5,O,139,,
14521,UC San Diego Tritons,2024-25,"Jan 20, 2024",Hawaii,Home,REG,W,67,61,W,-4.5,U,132.5,,
14521,UC San Diego Tritons,2024-25,"Jan 25, 2024",UC Riverside,Home,REG,W,66,65,L,-7,U,139.5,,
14521,UC San Diego Tritons,2024-25,"Jan 27, 2024",UC Davis,Away,REG,W,92,59,W,3,O,140,,
14521,UC San Diego Tritons,2024-25,"Feb 1, 2024",Cal State-Northridge,Home,REG,W,83,62,W,-11,U,151,,
14521,UC San Diego Tritons,2024-25,"Feb 3, 2024",Long Beach State,Away,REG,L,85,76,L,-1,O,152.5,,
14521,UC San Diego Tritons,2024-25,"Feb 9, 2024",Hawaii,Away,REG,L,94,86,L,1.5,O,137.5,,
14521,UC San Diego Tritons,2024-25,"Feb 15, 2024",UC-Santa Barbara,Home,REG,W,61,46,W,-5.5,U,143.5,,
14521,UC San Diego Tritons,2024-25,"Feb 17, 2024",Cal State-Fullerton,Home,REG,W,76,69,L,-10.5,O,137.5,,
14521,UC San Diego Tritons,2024-25,"Feb 22, 2024",UC Riverside,Away,REG,W,77,65,W,-3.5,O,139.5,,
14521,UC San Diego Tritons,2024-25,"Feb 24, 2024",UC Irvine,Home,REG,W,92,88,W,-1,O,142.5,,
14521,UC San Diego Tritons,2024-25,"Feb 29, 2024",Cal State-Bakersfield,Away,REG,L,70,57,L,-5.5,U,135,,
14521,UC San Diego Tritons,2024-25,"Mar 2, 2024",Cal State-Northridge,Away,REG,W,79,69,W,-5,U,150,,
14521,UC San Diego Tritons,2024-25,"Mar 7, 2024",UC Davis,Home,REG,L,70,63,L,-6.5,U,140.5,,
14521,UC San Diego Tritons,2024-25,"Mar 9, 2024",Cal Poly,Home,REG,W,92,87,L,-17.5,O,138,,
14521,UC San Diego Tritons,2024-25,"Mar 23, 2024",Chicago State,Home,REG,L,77,75,L,-9.5,O,141,,
14643,Bellarmine Knights,2024-25,"Nov 6, 2023",Washington,Away,REG,L,91,57,L,10.5,O,137,,
14643,Bellarmine Knights,2024-25,"Nov 10, 2023",Kansas State,Away,REG,L,83,75,W,16.5,O,142,,
14643,Bellarmine Knights,2024-25,"Nov 14, 2023",Chattanooga,Away,REG,L,72,64,L,4.5,U,143.5,,
14643,Bellarmine Knights,2024-25,"Nov 17, 2023",Bowling Green,Away,REG,W,85,67,W,3.5,O,142,,
14643,Bellarmine Knights,2024-25,"Nov 20, 2023",Morehead State,Home,REG,L,64,51,L,-4.5,U,134.5,,
14643,Bellarmine Knights,2024-25,"Nov 21, 2023",Midway University,Home,REG,W,77,56,,,,,,
14643,Bellarmine Knights,2024-25,"Nov 26, 2023",West Virginia,Away,REG,L,62,58,W,8,U,133.5,,
14643,Bellarmine Knights,2024-25,"Nov 29, 2023",Louisville,Away,REG,L,73,68,P,5,O,138.5,,
14643,Bellarmine Knights,2024-25,"Dec 2, 2023",Ball State,Away,REG,L,67,58,L,1,U,134.5,,
14643,Bellarmine Knights,2024-25,"Dec 4, 2023",Boyce College,Home,REG,W,88,54,,,,,,
14643,Bellarmine Knights,2024-25,"Dec 7, 2023",Berea,Home,REG,W,98,59,,,,,,
14643,Bellarmine Knights,2024-25,"Dec 16, 2023",Evansville,Home,REG,L,70,61,L,-1.5,U,140.5,,
14643,Bellarmine Knights,2024-25,"Dec 20, 2023",Utah,Away,REG,L,85,43,L,20.5,U,141.5,,
14643,Bellarmine Knights,2024-25,"Dec 22, 2023",BYU,Away,REG,L,101,59,L,28.5,O,143.5,,
14643,Bellarmine Knights,2024-25,"Dec 30, 2023",High Point,Away,REG,L,90,85,W,10,O,144.5,,
14643,Bellarmine Knights,2024-25,"Jan 4, 2024",Austin Peay,Home,REG,L,84,68,L,-2.5,O,132,,
14643,Bellarmine Knights,2024-25,"Jan 6, 2024",Lipscomb,Home,REG,L,81,70,L,3.5,O,146.5,,
14643,Bellarmine Knights,2024-25,"Jan 11, 2024",North Alabama,Away,REG,L,69,53,L,5.5,U,144.5,,
14643,Bellarmine Knights,2024-25,"Jan 13, 2024",Central Arkansas,Away,REG,L,59,57,L,-2.5,U,143.5,,
14643,Bellarmine Knights,2024-25,"Jan 20, 2024",Eastern Kentucky,Away,REG,L,82,70,L,11,O,140,,
14643,Bellarmine Knights,2024-25,"Jan 25, 2024",North Florida,Home,REG,L,71,63,L,1.5,U,139.5,,
14643,Bellarmine Knights,2024-25,"Jan 27, 2024",Jacksonville,Home,REG,W,69,63,W,-3.5,U,136.5,,
14643,Bellarmine Knights,2024-25,"Feb 1, 2024",Kennesaw State,Away,REG,W,96,95,W,8.5,O,152.5,,
14643,Bellarmine Knights,2024-25,"Feb 3, 2024",Queens,Away,REG,L,85,75,L,5,O,154.5,,
14643,Bellarmine Knights,2024-25,"Feb 7, 2024",Stetson,Home,REG,L,84,77,L,3.5,O,139.5,,
14643,Bellarmine Knights,2024-25,"Feb 10, 2024",Florida Gulf Coast,Away,REG,L,63,52,L,9,U,136.5,,
14643,Bellarmine Knights,2024-25,"Feb 17, 2024",Eastern Kentucky,Home,REG,L,75,65,L,6.5,U,146,,
14643,Bellarmine Knights,2024-25,"Feb 22, 2024",Central Arkansas,Home,REG,W,68,65,L,-5.5,U,143.5,,
14643,Bellarmine Knights,2024-25,"Feb 24, 2024",North Alabama,Home,REG,W,82,70,W,4.5,O,142.5,,
14643,Bellarmine Knights,2024-25,"Feb 28, 2024",Lipscomb,Away,REG,L,90,74,L,10,O,152,,
14643,Bellarmine Knights,2024-25,"Mar 1, 2024",Austin Peay,Away,REG,L,90,87,W,8.5,O,139,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 7, 2023",West Virginia Tech,Home,REG,W,108,72,,,,,,
14651,Eastern Kentucky Colonels,2024-25,"Nov 10, 2023",Wilberforce,Home,REG,W,133,75,,,,,,
